"student_id","student_first_name","student_middle_name","student_last_name","student_mother_name","student_class","student_section","student_mob_no","student_email_id","student_aadhar_card_no","student_college_name","student_department_name","student_status","student_grade","student_address","student_address_postal_code","student_city_name","student_state_name","student_country_name","student_date_of_birth"
35,"Emily","Alvin","Willis","Pamela","9","B","5907306523","emily.willis35@example.com","905787792975","Sawyer-Simmons College","Electrical","Inactive","A","109 Erika Pines Suite 180, Lake Brittneyview, CT 65125","26934","Kylemouth","Colorado","Tajikistan","2007-08-04"
36,"Jacqueline","Melody","Wilson","Lauren","3","C","0452713185","jacqueline.wilson36@example.com","925581937040","Ewing, Hunt and Shepherd College","Computer Science","Active","B","875 Newman Ridges, Smithview, CT 40252","20162","Hernandezmouth","Colorado","Finland","2000-10-19"
37,"Jenna","Tracy","Meyers","Ashley","7","D","9792447806","jenna.meyers37@example.com","982746913006","Lucas Group College","Civil","Graduated","C","9419 Gregory Pass Apt. 247, Mcintyreview, WY 45806","64377","South Christopherchester","New Mexico","French Guiana","2001-03-31"
38,"Bryan","Frances","Warren","Nicole","5","D","6591544320","bryan.warren38@example.com","183432923263","Sanders LLC College","IT","Graduated","C","05529 Davis Prairie, Annaside, MA 40943","64724","East Connie","Arkansas","Bouvet Island (Bouvetoya)","2002-02-25"
39,"Shannon","Teresa","Young","Sarah","6","A","6711243664","shannon.young39@example.com","711344717290","Vargas-Riley College","Mechanical","Active","D","5096 Rodriguez Valleys, Amandaton, AL 15281","38286","Molinaburgh","Wisconsin","Antigua and Barbuda","2002-10-14"
40,"Cody","Russell","Allen","Shawna","1","B","1515989689","cody.allen40@example.com","162990011798","Diaz Inc College","Mechanical","Active","D","93497 Beth Forest, Valdezbury, CO 99565","66960","South Sandyton","Indiana","Libyan Arab Jamahiriya","2000-03-17"
41,"Daniel","Melissa","Campbell","Caroline","9","B","3815377564","daniel.campbell41@example.com","269714298799","Campos, Johnson and Salazar College","Mechanical","Active","C","0490 Hernandez Expressway, Bartonborough, WY 43026","93073","South Ericville","New Hampshire","Cook Islands","2003-05-02"
42,"Frank","Michael","Hinton","Natasha","12","B","6023570316","frank.hinton42@example.com","407903197667","Phillips-Jones College","MBA","Active","B","PSC 3766, Box 3761, APO AE 30992","81084","West Zachary","Kentucky","Taiwan","2000-07-09"
43,"Julie","Richard","Wilson","Pamela","2","A","8935684967","julie.wilson43@example.com","826987492304","Archer-Jones College","Computer Science","Active","A","3924 Breanna Mount Apt. 186, West Lauraview, VT 58209","41844","Meyermouth","New Jersey","Seychelles","2007-06-02"
44,"Timothy","Benjamin","Perkins","Kimberly","1","D","1762614397","timothy.perkins44@example.com","349577541150","Gilmore Group College","IT","Active","C","303 Boyer Extension Suite 700, North Christineside, NY 65383","51715","Brianland","South Carolina","Mexico","2001-09-27"
45,"Manuel","Jessica","Sims","Elizabeth","3","B","8565624000","manuel.sims45@example.com","963396627559","Levine LLC College","MBA","Active","A","68563 Ricky Stream Apt. 401, Brucefort, MT 53453","32301","Port Henrystad","Minnesota","Vietnam","2005-12-21"
46,"Carla","Brianna","Moore","Lauren","3","D","2068267021","carla.moore46@example.com","691108069200","Jones PLC College","IT","Active","D","4195 Perez Club, Port Bruce, DC 37717","21131","Lake Ronald","New York","Timor-Leste","2002-04-04"
47,"Richard","Gina","Maxwell","Ann","10","B","0130476804","richard.maxwell47@example.com","376583650187","Parks-Rivera College","Computer Science","Inactive","B","034 Brian Mission, New Christopher, CA 13257","80738","Jesusburgh","Pennsylvania","French Guiana","2006-11-12"
48,"Brett","Tony","Long","Brooke","4","B","0524913717","brett.long48@example.com","127531360356","Riley-Contreras College","MBA","Graduated","B","092 Kim Valley, Evansborough, NH 86462","86027","Lake Kimberlyborough","Pennsylvania","Egypt","2001-09-15"
49,"Mark","Matthew","Lee","Angela","5","B","9720412602","mark.lee49@example.com","961278359756","Gray, Pearson and Rodriguez College","Electrical","Inactive","D","706 Kevin Fort Suite 340, Shannonstad, SC 33093","35123","Port Kaylaport","Hawaii","Croatia","2006-06-20"
50,"Gene","Julie","Lee","Teresa","6","C","3862887598","gene.lee50@example.com","249736901044","Ford and Sons College","MBA","Graduated","D","210 Herbert Glens Suite 493, West William, MS 34182","83273","Brianbury","Florida","Spain","2006-11-21"
51,"Johnny","Sarah","Webster","Tiffany","2","D","8918885457","johnny.webster51@example.com","709459976053","Jones PLC College","MBA","Inactive","B","97382 Nichols Coves, Port Valerieview, MI 76952","51114","Matthewhaven","Arkansas","Liberia","2005-11-29"
52,"Samuel","Todd","Chavez","Kimberly","5","B","7622623126","samuel.chavez52@example.com","741427058406","Clayton, Armstrong and Flowers College","Civil","Graduated","D","25557 Ward Street Apt. 557, Lake Kennethshire, OH 44033","12296","Mollyhaven","Washington","Kazakhstan","2000-05-21"
53,"Tina","Janice","Hanson","Tracy","3","A","5951266369","tina.hanson53@example.com","233351377755","Williams-York College","Electrical","Active","C","USNV Smith, FPO AP 85615","58884","Lowefurt","Texas","Pitcairn Islands","2000-08-27"
54,"Jessica","Anna","Cunningham","Deborah","4","A","3519784531","jessica.cunningham54@example.com","950253602497","Lambert-Ross College","IT","Active","B","0767 Brown Fall, Justinberg, AZ 21793","85874","Mataland","Utah","Korea","2001-12-11"
55,"Kelly","Paula","Williams","Amy","1","B","9268778408","kelly.williams55@example.com","532325798286","Burns, Ortiz and Hernandez College","MBA","Inactive","B","38163 Nelson Centers Apt. 598, West Jacqueline, ID 07486","26321","Seanburgh","Connecticut","Botswana","2001-04-27"
56,"Sean","Mary","Riddle","Kelli","7","B","0034019145","sean.riddle56@example.com","914297921277","Howard Ltd College","Civil","Graduated","C","50774 Moyer Corners, Mcdonaldberg, LA 15897","37544","Nielsenburgh","Oregon","Japan","2005-11-12"
57,"John","Tammy","Harris","Jamie","3","C","2635166599","john.harris57@example.com","133105671345","Finley Ltd College","Electrical","Inactive","C","91768 Carter Unions Apt. 279, Emilystad, IL 47469","07565","Moniqueland","Oregon","Jersey","2001-02-24"
58,"Alyssa","Jonathan","Walls","Frances","4","B","5304042254","alyssa.walls58@example.com","606115095342","Davis, Johnson and Case College","Electronics","Graduated","C","625 Bell Loop, Lake Daniel, OR 29886","38328","Port Frederick","Massachusetts","British Indian Ocean Territory (Chagos Archipelago)","2000-01-11"
59,"Kristen","Todd","Coleman","Sabrina","12","C","6795899182","kristen.coleman59@example.com","761453851313","Buckley, Martin and Kelly College","Mechanical","Inactive","C","1874 Allen Alley Apt. 495, West Marissa, MS 55482","50689","Dawnchester","Florida","Cambodia","2007-03-20"
60,"Debra","Roger","Sanchez","Jennifer","10","B","5914531588","debra.sanchez60@example.com","455573899586","Valenzuela, Lopez and Miller College","Mechanical","Graduated","C","8348 David Overpass Suite 937, Erinfurt, RI 03985","49009","Port Austin","Washington","Holy See (Vatican City State)","2002-07-29"
61,"Megan","Christine","Smith","Amy","8","C","6501446317","megan.smith61@example.com","431533743219","Moreno, Davis and Clark College","Electronics","Active","C","22497 Williamson Ridges, East Michelle, SC 54513","28754","Donaldstad","Arizona","Cuba","2000-08-17"
62,"Megan","Barbara","Glass","Kristina","10","D","0413894970","megan.glass62@example.com","526811959657","Jones, Herrera and Keller College","IT","Inactive","D","095 Nicole Falls, New William, ND 17027","95593","Catherinemouth","Hawaii","Greenland","2001-02-13"
63,"Kathryn","Joshua","Patterson","Anna","8","B","1270876324","kathryn.patterson63@example.com","682660241457","Freeman, Smith and Sanders College","Computer Science","Inactive","B","535 Graham Inlet, Amyview, CA 91466","94399","Leview","Virginia","Iraq","2005-08-23"
64,"Kathleen","Barbara","Willis","Megan","8","C","5307663700","kathleen.willis64@example.com","519901970524","Lewis Inc College","IT","Graduated","D","1171 John Falls, Jacksonchester, MT 01154","99459","East Brandonton","Georgia","Kyrgyz Republic","2001-08-11"
65,"Lindsay","Karen","Garcia","Anna","1","A","7548534272","lindsay.garcia65@example.com","489609244291","Gutierrez, Berry and Brown College","Mechanical","Inactive","B","6714 Jamie Flats, Alexmouth, ID 01197","96804","South Brianstad","New Hampshire","El Salvador","2005-06-18"
66,"Donna","Lee","Castillo","Bethany","9","C","6701066916","donna.castillo66@example.com","469083329905","Vargas Ltd College","IT","Active","A","98236 Carr Prairie Apt. 049, Nicholasberg, WA 41330","44038","East Roseville","Ohio","Christmas Island","2004-08-29"
67,"Madison","Phillip","Davis","Mary","11","B","2548946208","madison.davis67@example.com","640565271737","Moore PLC College","IT","Active","C","95622 Sean Lake, Chambersland, PA 37883","77794","Ericberg","Alaska","Saint Vincent and the Grenadines","2004-04-03"
68,"Kathy","Deanna","Mayer","Sherri","4","B","0182842240","kathy.mayer68@example.com","171198011035","Chapman-Fischer College","IT","Graduated","D","12769 Yvonne Roads, Romanview, OK 15827","50684","Juliestad","South Dakota","Congo","2000-01-10"
69,"Christopher","Joseph","Meyer","Amber","12","A","4701730723","christopher.meyer69@example.com","555863059904","Miller-Wood College","Electronics","Inactive","C","4358 Matthew Ridge Suite 816, Lake Karenfurt, ND 39416","23952","South Davidburgh","Vermont","Palau","2006-08-12"
70,"Elizabeth","Jeanette","Carrillo","Kristine","7","A","3135865945","elizabeth.carrillo70@example.com","469096167015","Dorsey PLC College","Electronics","Active","C","77173 Matthew Ville, Latoyamouth, NV 10904","28426","Michaelfort","Mississippi","Bahamas","2002-01-29"
71,"Wesley","Dennis","Gonzalez","Kathleen","2","A","6729797880","wesley.gonzalez71@example.com","264726396063","Norris PLC College","Computer Science","Inactive","D","910 Tyler Hill Apt. 395, Andreaborough, FL 33291","13174","Ortizside","Washington","French Southern Territories","2004-09-03"
72,"Timothy","Steven","Osborn","Courtney","12","A","6015177540","timothy.osborn72@example.com","855852111871","Dominguez, Cruz and Carter College","IT","Graduated","C","958 Samuel Stream, Burtonland, OH 27305","63480","Dianaside","Pennsylvania","Lebanon","2005-11-11"
73,"Samantha","Pamela","Davis","Andrea","10","C","0195152138","samantha.davis73@example.com","817543215081","Barr, Morgan and Johnston College","Computer Science","Graduated","B","2611 Richard Roads, Port Mitchell, AK 03820","40226","Suareztown","Florida","Israel","2004-02-03"
74,"Jeffrey","Brittany","Hudson","Candace","8","B","2841401080","jeffrey.hudson74@example.com","416711584527","Brown-Williams College","IT","Graduated","D","74055 Susan Street, Reesemouth, AZ 97572","31261","Delgadoburgh","Ohio","Czech Republic","2004-11-26"
75,"Kaitlyn","Joshua","Garcia","Ashley","9","C","8001657066","kaitlyn.garcia75@example.com","831948239220","Norman LLC College","Civil","Inactive","A","849 Leon Fort, East Richard, MS 79606","10401","Gilmoremouth","Alabama","Tokelau","2004-01-14"
76,"Nicholas","Michael","Turner","Terri","2","C","8052262814","nicholas.turner76@example.com","822799567700","Mosley-Bennett College","Mechanical","Active","A","USNS Moore, FPO AE 71370","20383","Lisaland","Montana","France","2002-07-05"
77,"Paul","Christopher","Stanley","Paula","4","D","3748011627","paul.stanley77@example.com","169808329165","Zhang and Sons College","Computer Science","Graduated","C","4169 Mcclain Estates Suite 371, Ramseytown, MN 10974","08294","East Laura","Georgia","Argentina","2002-03-08"
78,"Morgan","Valerie","Jones","Valerie","6","D","2642538656","morgan.jones78@example.com","274189025834","Kelly, Heath and Davila College","MBA","Inactive","C","8365 Rodriguez Mills, New Joshuaton, FL 52644","78277","Hallmouth","Connecticut","Sao Tome and Principe","2007-01-04"
79,"James","Curtis","Wells","Monica","12","B","4179508827","james.wells79@example.com","603801905408","Lawson Inc College","Electrical","Inactive","A","3149 Anthony Ville Suite 872, Port Jeffrey, OK 52341","85016","West Todd","Arkansas","Kenya","2006-03-07"
80,"Anne","Amber","Farmer","Olivia","3","A","0039604648","anne.farmer80@example.com","840577415426","Davis PLC College","Electronics","Graduated","A","USNS Rowe, FPO AE 73817","91747","Lake Kimberlyfort","Nebraska","Comoros","1999-10-13"
81,"Jared","Crystal","Green","Lisa","5","A","4216641624","jared.green81@example.com","201437792066","Cardenas LLC College","IT","Active","B","606 Burton Streets Suite 124, Hessview, MT 41079","63221","New Kristy","Oklahoma","Ghana","2002-09-02"
82,"Mario","Brenda","Frank","Jennifer","7","D","0582708622","mario.frank82@example.com","916005633001","Ward Inc College","Mechanical","Active","A","Unit 1743 Box 6023, DPO AP 29265","86689","Michaelburgh","North Dakota","Nigeria","2006-11-16"
83,"Alex","Alexander","Collins","Kimberly","3","C","8154348097","alex.collins83@example.com","891795492005","Baker-Wolfe College","Civil","Active","D","61569 Ryan Dam Suite 728, Foxhaven, FL 96614","05429","Kathrynmouth","New Hampshire","Portugal","2002-04-09"
84,"Jeremy","Michael","Carter","Ashley","2","B","9090967264","jeremy.carter84@example.com","874202611536","Gonzalez-Rogers College","Electrical","Graduated","A","9859 Perkins Brook, Hinesfort, CA 22727","97825","South James","Georgia","Mauritania","2007-04-15"
85,"Ryan","Joshua","Garrett","Stacy","12","D","4513647828","ryan.garrett85@example.com","206412098726","Terry, Butler and Haney College","Computer Science","Graduated","C","USNV Sullivan, FPO AE 10904","70044","Anthonyport","Ohio","Mongolia","2005-08-16"
86,"Amber","Susan","Santos","Brittany","3","C","6374761581","amber.santos86@example.com","991790553145","Glover-Peterson College","IT","Graduated","A","797 Matthew Flat Apt. 943, Orrmouth, SC 20468","99809","Caseyland","Nebraska","Mauritius","2003-03-12"
87,"Rebecca","Anthony","Williams","Alyssa","10","C","5517570674","rebecca.williams87@example.com","719378155292","Hayden, Garcia and Smith College","Mechanical","Active","D","50139 Cody Junctions, West Aaronborough, AL 38806","64748","South John","Louisiana","Algeria","1999-09-04"
88,"Christine","Wendy","Morton","Sherry","10","A","7957635568","christine.morton88@example.com","202215912180","Little-Moore College","IT","Active","C","6065 Smith Springs Suite 479, West Virginiaville, CT 58516","95107","Port Elizabeth","Nevada","Macedonia","2002-07-01"
89,"Jason","Susan","Harris","Wendy","7","A","9767766537","jason.harris89@example.com","294870747364","Rice-Christian College","Electronics","Inactive","D","46257 Michael Run Suite 750, Reevesfurt, OH 28153","59918","Lake Emilyfurt","Minnesota","Pitcairn Islands","2007-05-22"
90,"David","Samuel","Kent","Sandra","5","A","8505346787","david.kent90@example.com","841947335994","Beck-Hammond College","Electronics","Active","D","25111 Cynthia Crest Apt. 033, Shelbyton, LA 05595","45205","Shannonfort","New Jersey","Macedonia","2004-01-03"
91,"Heather","Kelly","Castro","Angela","9","C","7543996852","heather.castro91@example.com","990367776786","Hernandez Group College","Computer Science","Active","B","912 Timothy Burg, Natalieside, IN 09676","22407","New Javiermouth","Iowa","Pakistan","2000-06-28"
92,"Brian","Megan","Coleman","Barbara","2","C","1527689996","brian.coleman92@example.com","712135759022","Lane-Weiss College","Computer Science","Inactive","D","122 Peter Spurs, Michaelshire, NC 91696","19985","North Tina","Oregon","Chile","2004-11-24"
93,"Jennifer","Veronica","West","Tiffany","2","C","5948468153","jennifer.west93@example.com","201717519744","Brown Group College","MBA","Graduated","A","60865 George Village Suite 085, Fitzpatrickstad, WV 30294","44911","Lake Danieltown","Illinois","Botswana","2003-04-05"
94,"Tonya","William","Warren","Jessica","3","A","8983046265","tonya.warren94@example.com","199422235089","Miller, Tran and Ingram College","IT","Graduated","B","5658 Eduardo Wells, West Katherine, TX 67329","69280","West Leslie","Alabama","Pakistan","2000-01-28"
95,"Bruce","Wendy","Rogers","Lori","5","B","7246973049","bruce.rogers95@example.com","757212200442","Burns and Sons College","Mechanical","Graduated","D","278 Vanessa Forges Apt. 493, Sandovalville, RI 69435","22100","East Christopherland","Vermont","Australia","2000-02-16"
96,"Ryan","Kent","Adams","Jeanette","10","B","0396356072","ryan.adams96@example.com","680092726882","Compton-Harvey College","Computer Science","Active","A","USNS Rodriguez, FPO AP 26481","08337","Christieburgh","Hawaii","Norway","2005-02-19"
97,"Michelle","Kristi","Morales","Jennifer","12","C","2127040943","michelle.morales97@example.com","354563032025","Rose-Gillespie College","Mechanical","Active","C","341 Carl Grove, Holtburgh, PA 98897","86334","Brucestad","Nevada","France","2003-09-01"
98,"Bruce","Brian","Gutierrez","Linda","10","B","6327658055","bruce.gutierrez98@example.com","534073290738","Thompson LLC College","MBA","Graduated","D","71371 Watts Trace, Lake Eric, IL 12807","86535","South Robertmouth","Mississippi","Philippines","2002-03-12"
99,"Brian","Bianca","Cruz","Christy","8","D","1384969308","brian.cruz99@example.com","952531497341","Davis-Garrison College","Electronics","Active","D","9969 Adam Mountain Apt. 246, Currystad, SD 03510","49405","West Tammy","North Dakota","Bosnia and Herzegovina","2003-06-26"
100,"Justin","Brendan","Flores","Susan","1","B","9000460685","justin.flores100@example.com","183436819528","Garcia, Chambers and Donaldson College","Civil","Graduated","C","72880 Adkins Light Suite 669, Wongport, OK 51084","13151","New Michelle","Pennsylvania","Argentina","2006-03-25"
101,"Shelley","Mark","Lawson","Amy","4","D","7281423369","shelley.lawson101@example.com","772408313867","Smith Group College","Computer Science","Active","D","610 Karen Field, South Adriana, RI 09907","26359","South Nicholas","Missouri","Turkey","2005-07-05"
102,"Joseph","Patrick","Stanley","Maria","1","C","8460618371","joseph.stanley102@example.com","722542586711","Garrett, Wright and Berger College","MBA","Inactive","B","6594 Fitzgerald Islands, West Catherine, KS 41715","33737","East Alexiston","Kansas","Bermuda","2007-01-23"
103,"Anthony","Matthew","Butler","Olivia","8","B","5860874099","anthony.butler103@example.com","887021856710","Lewis-Morales College","IT","Graduated","A","89476 Wilkerson Road, Jacobfort, UT 80873","13012","Lake Michael","Illinois","Niue","2004-08-25"
104,"Donald","Claudia","Jones","Carla","8","C","8690184082","donald.jones104@example.com","508971895701","Nelson, Hill and Young College","IT","Inactive","C","58257 Baker Mission, Collinsmouth, KS 92138","38069","Hernandezmouth","Rhode Island","Kenya","2000-06-11"
105,"Chad","Elizabeth","Crawford","Elizabeth","1","D","2094340538","chad.crawford105@example.com","145396239034","Williams, Peters and Moore College","Civil","Active","B","Unit 3775 Box 9016, DPO AA 93741","18466","Lake Melissaton","Minnesota","Eritrea","2007-01-17"
106,"Mark","Gloria","Andrews","Katherine","10","A","8166232450","mark.andrews106@example.com","870929828368","Robinson, Nichols and Hudson College","Computer Science","Active","C","15663 Jordan Lock Suite 544, North Jessica, AR 98160","11747","West Jennifer","Iowa","Saint Lucia","2001-02-18"
107,"Melissa","Jose","Riggs","Terri","8","B","5641427275","melissa.riggs107@example.com","784169007922","Johnson-Nolan College","MBA","Graduated","D","6893 Ray Pine Apt. 647, Brittanychester, AZ 42982","11744","Murrayton","West Virginia","Portugal","2004-07-19"
108,"Carolyn","Kristen","Wolf","Abigail","4","D","6240643162","carolyn.wolf108@example.com","123420057439","Rodriguez, Kennedy and Baker College","Civil","Inactive","A","1410 Dyer Knolls, Barbaraberg, MT 57261","97149","Millerfort","Wisconsin","Korea","2007-04-20"
109,"Dylan","Emily","Roberts","Molly","6","D","3767240148","dylan.roberts109@example.com","796538725170","Christian, Anderson and Munoz College","Civil","Inactive","D","USS Irwin, FPO AP 63235","09772","Port Brenda","Wyoming","United States Virgin Islands","2003-05-28"
